取引日,出金金額（円）,入金金額（円）,海外出金金額,通貨,変換レート（円）,利用国,取引内容,取引先,取引方法,支払い区分,利用者,取引番号
2026/07/08 06:50:22,-,"1,000",-,-,-,JP,受け取った金額,ジユンコ,PayPay残高,-,-,02308082968474451970
2026/07/07 15:41:04,590,-,-,-,-,-,支払い,Google,PayPay残高,-,-,05018762606780891136
2026/07/07 12:44:32,"18,500",-,-,-,-,-,支払い,VERARUS,PayPay残高,-,-,05018671613603495941
2026/07/07 12:44:17,-,"20,000",-,-,-,-,チャージ,PayPay,横浜銀行 *****13,-,-,02307523205387845648
2026/07/04 21:39:47,"6,058",-,-,-,-,-,支払い,富士薬品グループ - ドラッグセイムス愛甲石田店,PayPay残高,-,-,05016720976895795202
2026/07/04 17:43:04,-,"2,000",-,-,-,JP,受け取った金額,ジユンコ,PayPay残高,-,-,02305450686099226649
2026/07/04 16:32:54,-,"4,000",-,-,-,JP,受け取った金額,ジユンコ,PayPay残高,-,-,02305414531063635970
2026/07/04 09:48:12,950,-,-,-,-,-,支払い,妖怪ウォッチ ぷにぷに,PayPay残高,-,-,05016354221048692743
2026/07/04 09:47:50,"6,170",-,-,-,-,-,支払い,妖怪ウォッチ ぷにぷに,PayPay残高,-,-,05016354040659173380
2026/07/04 09:47:37,-,"5,000",-,-,-,-,チャージ,PayPay,横浜銀行 *****13,-,-,02305205641034924048
2026/07/03 21:42:45,"8,358",-,-,-,-,-,支払い,しゃぶ葉 - しゃぶ葉横浜駅西口店,PayPay残高,-,-,05015980335554854912
2026/07/03 21:34:15,-,"10,000",-,-,-,-,チャージ,PayPay,横浜銀行 *****13,-,-,02304827666731712543
2026/07/02 17:54:11,106,-,-,-,-,-,支払い,マルエツ - 愛甲石田店,PayPay残高,-,-,05015120354253209606
2026/07/01 12:55:13,248,-,-,-,-,-,支払い,ファミリーマート - 新宿三丁目,PayPay残高,-,-,05014224106247192576
2026/07/01 12:26:42,"2,000",-,-,-,-,-,支払い,凪スピリッツジャパン - すごい煮干ラーメン凪新宿ゴールデン街店本館,PayPay残高,-,-,05014209408869072896
2026/07/01 06:35:03,-,"1,000",-,-,-,JP,受け取った金額,ジユンコ,PayPay残高,-,-,02302879890473287680
2026/07/01 03:02:07,"1,500",-,-,-,-,-,期間限定ポイントの期限切れ,-,PayPayポイント,-,-,04368045760925573167
2026/06/30 15:18:31,-,"2,000",-,-,-,JP,受け取った金額,ジユンコ,PayPay残高,-,-,02302407512789925888
2026/06/30 12:36:44,"1,095",-,-,-,-,-,支払い,セブン-イレブン - 片柳学園,PayPay残高,-,-,05013472401071398916
2026/06/30 12:34:26,-,200,-,-,-,JP,受け取った金額,S,PayPay残高,-,-,02302322936294907915
2026/06/27 21:33:44,"2,849",-,-,-,-,-,支払い,富士薬品グループ - ドラッグセイムス愛甲石田店,PayPay残高,-,-,05011522666305699840
2026/06/27 19:03:46,-,"4,000",-,-,-,JP,受け取った金額,ジユンコ,PayPay残高,-,-,02300297094710583296
2026/06/27 16:54:21,"9,499",-,-,-,-,-,支払い,Amazon.co.jp,PayPay残高,-,-,05011378673233035268
2026/06/27 16:53:33,-,"3,000",-,-,-,-,チャージ,PayPay,横浜銀行 *****13,-,-,02300229972961755152
2026/06/27 00:37:58,-,"5,000",-,-,-,-,チャージ,PayPay,横浜銀行 *****13,-,-,02299727161139429380
