"","","今回のお支払日","2026/10/10"
"","","今回のお支払金額合計(￥)","57797"
"",""," うち国内ご利用金額合計(￥)","57797"
"",""," うち海外ご利用金額合計(￥)","0"
"【ご利用明細】"
"ご利用者","カテゴリ","ご利用日","ご利用先など","ご利用金額(￥)","支払区分","今回回数","訂正サイン","お支払い金額(￥)","国内／海外","摘要","備考"
"発表用ダミー","≪ショッピング取組（国内）≫","2026/01/03","docomo サンプル","128","1回","","","128","国内","","DUMMY-2026-0027"
"発表用ダミー","≪ショッピング取組（国内）≫","2026/01/06","サンプル家賃","88","1回","","","88","国内","","DUMMY-2026-0029"
"発表用ダミー","≪ショッピング取組（国内）≫","2026/01/07","サンプルサービスB","400","1回","","","400","国内","","DUMMY-2026-0002"
"発表用ダミー","≪ショッピング取組（国内）≫","2026/01/08","Amazon サンプル購入","1456","1回","","","1456","国内","","DUMMY-2026-0013"
"発表用ダミー","≪ショッピング取組（国内）≫","2026/01/11","サンプルサービスH","400","1回","","","400","国内","","DUMMY-2026-0008"
"発表用ダミー","≪ショッピング取組（国内）≫","2026/01/14","ユニクロ サンプル店","520","1回","","","520","国内","","DUMMY-2026-0017"
"発表用ダミー","≪ショッピング取組（国内）≫","2026/01/15","スターバックス サンプル店","1404","1回","","","1404","国内","","DUMMY-2026-0011"
"発表用ダミー","≪ショッピング取組（国内）≫","2026/01/16","ニトリ サンプル店","864","1回","","","864","国内","","DUMMY-2026-0016"
"発表用ダミー","≪ショッピング取組（国内）≫","2026/01/17","TOHOシネマズ サンプル","160","1回","","","160","国内","","DUMMY-2026-0019"
"発表用ダミー","≪ショッピング取組（国内）≫","2026/01/22","サンプルサービスE","400","1回","","","400","国内","","DUMMY-2026-0005"
"発表用ダミー","≪ショッピング取組（国内）≫","2026/01/25","みどりクリニック サンプル","160","1回","","","160","国内","","DUMMY-2026-0022"
"発表用ダミー","≪ショッピング取組（国内）≫","2026/01/26","東京電力 サンプル","144","1回","","","144","国内","","DUMMY-2026-0025"
"発表用ダミー","≪ショッピング取組（国内）≫","2026/02/03","docomo サンプル","128","1回","","","128","国内","","DUMMY-2026-0057"
"発表用ダミー","≪ショッピング取組（国内）≫","2026/02/06","サンプル家賃","88","1回","","","88","国内","","DUMMY-2026-0059"
"発表用ダミー","≪ショッピング取組（国内）≫","2026/02/07","サンプルサービスB","400","1回","","","400","国内","","DUMMY-2026-0032"
"発表用ダミー","≪ショッピング取組（国内）≫","2026/02/08","Amazon サンプル購入","1456","1回","","","1456","国内","","DUMMY-2026-0043"
"発表用ダミー","≪ショッピング取組（国内）≫","2026/02/11","サンプルサービスH","400","1回","","","400","国内","","DUMMY-2026-0038"
"発表用ダミー","≪ショッピング取組（国内）≫","2026/02/14","ユニクロ サンプル店","520","1回","","","520","国内","","DUMMY-2026-0047"
"発表用ダミー","≪ショッピング取組（国内）≫","2026/02/15","スターバックス サンプル店","1404","1回","","","1404","国内","","DUMMY-2026-0041"
"発表用ダミー","≪ショッピング取組（国内）≫","2026/02/16","ニトリ サンプル店","864","1回","","","864","国内","","DUMMY-2026-0046"
"発表用ダミー","≪ショッピング取組（国内）≫","2026/02/17","TOHOシネマズ サンプル","160","1回","","","160","国内","","DUMMY-2026-0049"
"発表用ダミー","≪ショッピング取組（国内）≫","2026/02/22","サンプルサービスE","400","1回","","","400","国内","","DUMMY-2026-0035"
"発表用ダミー","≪ショッピング取組（国内）≫","2026/02/25","みどりクリニック サンプル","160","1回","","","160","国内","","DUMMY-2026-0052"
"発表用ダミー","≪ショッピング取組（国内）≫","2026/02/26","東京電力 サンプル","144","1回","","","144","国内","","DUMMY-2026-0055"
"発表用ダミー","≪ショッピング取組（国内）≫","2026/03/03","docomo サンプル","128","1回","","","128","国内","","DUMMY-2026-0087"
"発表用ダミー","≪ショッピング取組（国内）≫","2026/03/06","サンプル家賃","88","1回","","","88","国内","","DUMMY-2026-0089"
"発表用ダミー","≪ショッピング取組（国内）≫","2026/03/07","サンプルサービスB","400","1回","","","400","国内","","DUMMY-2026-0062"
"発表用ダミー","≪ショッピング取組（国内）≫","2026/03/08","Amazon サンプル購入","1456","1回","","","1456","国内","","DUMMY-2026-0073"
"発表用ダミー","≪ショッピング取組（国内）≫","2026/03/11","サンプルサービスH","400","1回","","","400","国内","","DUMMY-2026-0068"
"発表用ダミー","≪ショッピング取組（国内）≫","2026/03/14","ユニクロ サンプル店","520","1回","","","520","国内","","DUMMY-2026-0077"
"発表用ダミー","≪ショッピング取組（国内）≫","2026/03/15","スターバックス サンプル店","1404","1回","","","1404","国内","","DUMMY-2026-0071"
"発表用ダミー","≪ショッピング取組（国内）≫","2026/03/16","ニトリ サンプル店","864","1回","","","864","国内","","DUMMY-2026-0076"
"発表用ダミー","≪ショッピング取組（国内）≫","2026/03/17","TOHOシネマズ サンプル","160","1回","","","160","国内","","DUMMY-2026-0079"
"発表用ダミー","≪ショッピング取組（国内）≫","2026/03/22","サンプルサービスE","400","1回","","","400","国内","","DUMMY-2026-0065"
"発表用ダミー","≪ショッピング取組（国内）≫","2026/03/25","みどりクリニック サンプル","160","1回","","","160","国内","","DUMMY-2026-0082"
"発表用ダミー","≪ショッピング取組（国内）≫","2026/03/26","東京電力 サンプル","144","1回","","","144","国内","","DUMMY-2026-0085"
"発表用ダミー","≪ショッピング取組（国内）≫","2026/04/03","docomo サンプル","136","1回","","","136","国内","","DUMMY-2026-0117"
"発表用ダミー","≪ショッピング取組（国内）≫","2026/04/06","サンプル家賃","94","1回","","","94","国内","","DUMMY-2026-0119"
"発表用ダミー","≪ショッピング取組（国内）≫","2026/04/07","サンプルサービスB","425","1回","","","425","国内","","DUMMY-2026-0092"
"発表用ダミー","≪ショッピング取組（国内）≫","2026/04/08","Amazon サンプル購入","1547","1回","","","1547","国内","","DUMMY-2026-0103"
"発表用ダミー","≪ショッピング取組（国内）≫","2026/04/11","サンプルサービスH","425","1回","","","425","国内","","DUMMY-2026-0098"
"発表用ダミー","≪ショッピング取組（国内）≫","2026/04/14","ユニクロ サンプル店","553","1回","","","553","国内","","DUMMY-2026-0107"
"発表用ダミー","≪ショッピング取組（国内）≫","2026/04/15","スターバックス サンプル店","1492","1回","","","1492","国内","","DUMMY-2026-0101"
"発表用ダミー","≪ショッピング取組（国内）≫","2026/04/16","ニトリ サンプル店","918","1回","","","918","国内","","DUMMY-2026-0106"
"発表用ダミー","≪ショッピング取組（国内）≫","2026/04/17","TOHOシネマズ サンプル","170","1回","","","170","国内","","DUMMY-2026-0109"
"発表用ダミー","≪ショッピング取組（国内）≫","2026/04/22","サンプルサービスE","425","1回","","","425","国内","","DUMMY-2026-0095"
"発表用ダミー","≪ショッピング取組（国内）≫","2026/04/25","みどりクリニック サンプル","170","1回","","","170","国内","","DUMMY-2026-0112"
"発表用ダミー","≪ショッピング取組（国内）≫","2026/04/26","東京電力 サンプル","153","1回","","","153","国内","","DUMMY-2026-0115"
"発表用ダミー","≪ショッピング取組（国内）≫","2026/05/03","docomo サンプル","136","1回","","","136","国内","","DUMMY-2026-0147"
"発表用ダミー","≪ショッピング取組（国内）≫","2026/05/06","サンプル家賃","94","1回","","","94","国内","","DUMMY-2026-0149"
"発表用ダミー","≪ショッピング取組（国内）≫","2026/05/07","サンプルサービスB","425","1回","","","425","国内","","DUMMY-2026-0122"
"発表用ダミー","≪ショッピング取組（国内）≫","2026/05/08","Amazon サンプル購入","1547","1回","","","1547","国内","","DUMMY-2026-0133"
"発表用ダミー","≪ショッピング取組（国内）≫","2026/05/11","サンプルサービスH","425","1回","","","425","国内","","DUMMY-2026-0128"
"発表用ダミー","≪ショッピング取組（国内）≫","2026/05/14","ユニクロ サンプル店","553","1回","","","553","国内","","DUMMY-2026-0137"
"発表用ダミー","≪ショッピング取組（国内）≫","2026/05/15","スターバックス サンプル店","1492","1回","","","1492","国内","","DUMMY-2026-0131"
"発表用ダミー","≪ショッピング取組（国内）≫","2026/05/16","ニトリ サンプル店","918","1回","","","918","国内","","DUMMY-2026-0136"
"発表用ダミー","≪ショッピング取組（国内）≫","2026/05/17","TOHOシネマズ サンプル","170","1回","","","170","国内","","DUMMY-2026-0139"
"発表用ダミー","≪ショッピング取組（国内）≫","2026/05/22","サンプルサービスE","425","1回","","","425","国内","","DUMMY-2026-0125"
"発表用ダミー","≪ショッピング取組（国内）≫","2026/05/25","みどりクリニック サンプル","170","1回","","","170","国内","","DUMMY-2026-0142"
"発表用ダミー","≪ショッピング取組（国内）≫","2026/05/26","東京電力 サンプル","153","1回","","","153","国内","","DUMMY-2026-0145"
"発表用ダミー","≪ショッピング取組（国内）≫","2026/06/03","docomo サンプル","144","1回","","","144","国内","","DUMMY-2026-0177"
"発表用ダミー","≪ショッピング取組（国内）≫","2026/06/06","サンプル家賃","99","1回","","","99","国内","","DUMMY-2026-0179"
"発表用ダミー","≪ショッピング取組（国内）≫","2026/06/07","サンプルサービスB","450","1回","","","450","国内","","DUMMY-2026-0152"
"発表用ダミー","≪ショッピング取組（国内）≫","2026/06/08","Amazon サンプル購入","1638","1回","","","1638","国内","","DUMMY-2026-0163"
"発表用ダミー","≪ショッピング取組（国内）≫","2026/06/11","サンプルサービスH","450","1回","","","450","国内","","DUMMY-2026-0158"
"発表用ダミー","≪ショッピング取組（国内）≫","2026/06/14","ユニクロ サンプル店","585","1回","","","585","国内","","DUMMY-2026-0167"
"発表用ダミー","≪ショッピング取組（国内）≫","2026/06/15","スターバックス サンプル店","1579","1回","","","1579","国内","","DUMMY-2026-0161"
"発表用ダミー","≪ショッピング取組（国内）≫","2026/06/16","ニトリ サンプル店","972","1回","","","972","国内","","DUMMY-2026-0166"
"発表用ダミー","≪ショッピング取組（国内）≫","2026/06/17","TOHOシネマズ サンプル","180","1回","","","180","国内","","DUMMY-2026-0169"
"発表用ダミー","≪ショッピング取組（国内）≫","2026/06/22","サンプルサービスE","450","1回","","","450","国内","","DUMMY-2026-0155"
"発表用ダミー","≪ショッピング取組（国内）≫","2026/06/25","みどりクリニック サンプル","180","1回","","","180","国内","","DUMMY-2026-0172"
"発表用ダミー","≪ショッピング取組（国内）≫","2026/06/26","東京電力 サンプル","162","1回","","","162","国内","","DUMMY-2026-0175"
"発表用ダミー","≪ショッピング取組（国内）≫","2026/07/03","docomo サンプル","144","1回","","","144","国内","","DUMMY-2026-0207"
"発表用ダミー","≪ショッピング取組（国内）≫","2026/07/06","サンプル家賃","99","1回","","","99","国内","","DUMMY-2026-0209"
"発表用ダミー","≪ショッピング取組（国内）≫","2026/07/07","サンプルサービスB","450","1回","","","450","国内","","DUMMY-2026-0182"
"発表用ダミー","≪ショッピング取組（国内）≫","2026/07/08","Amazon サンプル購入","1638","1回","","","1638","国内","","DUMMY-2026-0193"
"発表用ダミー","≪ショッピング取組（国内）≫","2026/07/11","サンプルサービスH","450","1回","","","450","国内","","DUMMY-2026-0188"
"発表用ダミー","≪ショッピング取組（国内）≫","2026/07/14","ユニクロ サンプル店","585","1回","","","585","国内","","DUMMY-2026-0197"
"発表用ダミー","≪ショッピング取組（国内）≫","2026/07/15","スターバックス サンプル店","1579","1回","","","1579","国内","","DUMMY-2026-0191"
"発表用ダミー","≪ショッピング取組（国内）≫","2026/07/16","ニトリ サンプル店","972","1回","","","972","国内","","DUMMY-2026-0196"
"発表用ダミー","≪ショッピング取組（国内）≫","2026/07/17","TOHOシネマズ サンプル","180","1回","","","180","国内","","DUMMY-2026-0199"
"発表用ダミー","≪ショッピング取組（国内）≫","2026/07/22","サンプルサービスE","450","1回","","","450","国内","","DUMMY-2026-0185"
"発表用ダミー","≪ショッピング取組（国内）≫","2026/07/25","みどりクリニック サンプル","180","1回","","","180","国内","","DUMMY-2026-0202"
"発表用ダミー","≪ショッピング取組（国内）≫","2026/07/26","東京電力 サンプル","162","1回","","","162","国内","","DUMMY-2026-0205"
"発表用ダミー","≪ショッピング取組（国内）≫","2026/08/03","docomo サンプル","152","1回","","","152","国内","","DUMMY-2026-0237"
"発表用ダミー","≪ショッピング取組（国内）≫","2026/08/06","サンプル家賃","105","1回","","","105","国内","","DUMMY-2026-0239"
"発表用ダミー","≪ショッピング取組（国内）≫","2026/08/07","サンプルサービスB","475","1回","","","475","国内","","DUMMY-2026-0212"
"発表用ダミー","≪ショッピング取組（国内）≫","2026/08/08","Amazon サンプル購入","1729","1回","","","1729","国内","","DUMMY-2026-0223"
"発表用ダミー","≪ショッピング取組（国内）≫","2026/08/11","サンプルサービスH","475","1回","","","475","国内","","DUMMY-2026-0218"
"発表用ダミー","≪ショッピング取組（国内）≫","2026/08/14","ユニクロ サンプル店","618","1回","","","618","国内","","DUMMY-2026-0227"
"発表用ダミー","≪ショッピング取組（国内）≫","2026/08/15","スターバックス サンプル店","1667","1回","","","1667","国内","","DUMMY-2026-0221"
"発表用ダミー","≪ショッピング取組（国内）≫","2026/08/16","ニトリ サンプル店","1026","1回","","","1026","国内","","DUMMY-2026-0226"
"発表用ダミー","≪ショッピング取組（国内）≫","2026/08/17","TOHOシネマズ サンプル","190","1回","","","190","国内","","DUMMY-2026-0229"
"発表用ダミー","≪ショッピング取組（国内）≫","2026/08/22","サンプルサービスE","475","1回","","","475","国内","","DUMMY-2026-0215"
"発表用ダミー","≪ショッピング取組（国内）≫","2026/08/25","みどりクリニック サンプル","190","1回","","","190","国内","","DUMMY-2026-0232"
"発表用ダミー","≪ショッピング取組（国内）≫","2026/08/26","東京電力 サンプル","171","1回","","","171","国内","","DUMMY-2026-0235"
