"","","今回のお支払日","2026/07/10"
"","","今回のお支払金額合計(￥)","1622240"
"",""," うち国内ご利用金額合計(￥)","1622240"
"",""," うち海外ご利用金額合計(￥)","0"
"【ご利用明細】"
"ご利用者","カテゴリ","ご利用日","ご利用先など","ご利用金額(￥)","支払区分","今回回数","訂正サイン","お支払い金額(￥)","国内／海外","摘要","備考"
"dummy_20s_male_01","≪ショッピング取組（国内）≫","2026/06/26","セブンイレブン","520","1回","","","520","国内","","DUMMY-20M01-011"
"dummy_20s_male_01","≪ショッピング取組（国内）≫","2026/06/28","ラーメン青葉","980","1回","","","980","国内","","DUMMY-20M01-012"
"dummy_20s_male_01","≪ショッピング取組（国内）≫","2026/06/02","スターバックス","1180","1回","","","1180","国内","","DUMMY-20M01-013"
"dummy_20s_male_01","≪ショッピング取組（国内）≫","2026/06/04","ユニクロ","6980","1回","","","6980","国内","","DUMMY-20M01-014"
"dummy_20s_male_01","≪ショッピング取組（国内）≫","2026/06/06","TOHOシネマズ","2300","1回","","","2300","国内","","DUMMY-20M01-015"
"dummy_20s_male_02","≪ショッピング取組（国内）≫","2026/06/27","セブンイレブン","520","1回","","","520","国内","","DUMMY-20M02-010"
"dummy_20s_male_02","≪ショッピング取組（国内）≫","2026/06/01","ラーメン青葉","980","1回","","","980","国内","","DUMMY-20M02-011"
"dummy_20s_male_02","≪ショッピング取組（国内）≫","2026/06/03","スターバックス","1180","1回","","","1180","国内","","DUMMY-20M02-012"
"dummy_20s_male_02","≪ショッピング取組（国内）≫","2026/06/05","ユニクロ","6980","1回","","","6980","国内","","DUMMY-20M02-013"
"dummy_20s_male_02","≪ショッピング取組（国内）≫","2026/06/07","TOHOシネマズ","2300","1回","","","2300","国内","","DUMMY-20M02-014"
"dummy_20s_male_03","≪ショッピング取組（国内）≫","2026/06/28","セブンイレブン","520","1回","","","520","国内","","DUMMY-20M03-009"
"dummy_20s_male_03","≪ショッピング取組（国内）≫","2026/06/02","ラーメン青葉","980","1回","","","980","国内","","DUMMY-20M03-010"
"dummy_20s_male_03","≪ショッピング取組（国内）≫","2026/06/04","スターバックス","1180","1回","","","1180","国内","","DUMMY-20M03-011"
"dummy_20s_male_03","≪ショッピング取組（国内）≫","2026/06/06","ユニクロ","6980","1回","","","6980","国内","","DUMMY-20M03-012"
"dummy_20s_male_03","≪ショッピング取組（国内）≫","2026/06/08","TOHOシネマズ","2300","1回","","","2300","国内","","DUMMY-20M03-013"
"dummy_20s_male_04","≪ショッピング取組（国内）≫","2026/06/01","セブンイレブン","520","1回","","","520","国内","","DUMMY-20M04-008"
"dummy_20s_male_04","≪ショッピング取組（国内）≫","2026/06/03","ラーメン青葉","980","1回","","","980","国内","","DUMMY-20M04-009"
"dummy_20s_male_04","≪ショッピング取組（国内）≫","2026/06/05","スターバックス","1180","1回","","","1180","国内","","DUMMY-20M04-010"
"dummy_20s_male_04","≪ショッピング取組（国内）≫","2026/06/07","ユニクロ","6980","1回","","","6980","国内","","DUMMY-20M04-011"
"dummy_20s_male_04","≪ショッピング取組（国内）≫","2026/06/09","TOHOシネマズ","2300","1回","","","2300","国内","","DUMMY-20M04-012"
"dummy_20s_male_05","≪ショッピング取組（国内）≫","2026/06/02","セブンイレブン","520","1回","","","520","国内","","DUMMY-20M05-007"
"dummy_20s_male_05","≪ショッピング取組（国内）≫","2026/06/04","ラーメン青葉","980","1回","","","980","国内","","DUMMY-20M05-008"
"dummy_20s_male_05","≪ショッピング取組（国内）≫","2026/06/06","スターバックス","1180","1回","","","1180","国内","","DUMMY-20M05-009"
"dummy_20s_male_05","≪ショッピング取組（国内）≫","2026/06/08","ユニクロ","6980","1回","","","6980","国内","","DUMMY-20M05-010"
"dummy_20s_male_05","≪ショッピング取組（国内）≫","2026/06/10","TOHOシネマズ","2300","1回","","","2300","国内","","DUMMY-20M05-011"
"dummy_20s_male_06","≪ショッピング取組（国内）≫","2026/06/03","セブンイレブン","520","1回","","","520","国内","","DUMMY-20M06-006"
"dummy_20s_male_06","≪ショッピング取組（国内）≫","2026/06/05","ラーメン青葉","980","1回","","","980","国内","","DUMMY-20M06-007"
"dummy_20s_male_06","≪ショッピング取組（国内）≫","2026/06/07","スターバックス","1180","1回","","","1180","国内","","DUMMY-20M06-008"
"dummy_20s_male_06","≪ショッピング取組（国内）≫","2026/06/09","ユニクロ","6980","1回","","","6980","国内","","DUMMY-20M06-009"
"dummy_20s_male_06","≪ショッピング取組（国内）≫","2026/06/11","TOHOシネマズ","2300","1回","","","2300","国内","","DUMMY-20M06-010"
"dummy_20s_male_07","≪ショッピング取組（国内）≫","2026/06/04","セブンイレブン","520","1回","","","520","国内","","DUMMY-20M07-005"
"dummy_20s_male_07","≪ショッピング取組（国内）≫","2026/06/06","ラーメン青葉","980","1回","","","980","国内","","DUMMY-20M07-006"
"dummy_20s_male_07","≪ショッピング取組（国内）≫","2026/06/08","スターバックス","1180","1回","","","1180","国内","","DUMMY-20M07-007"
"dummy_20s_male_07","≪ショッピング取組（国内）≫","2026/06/10","ユニクロ","6980","1回","","","6980","国内","","DUMMY-20M07-008"
"dummy_20s_male_07","≪ショッピング取組（国内）≫","2026/06/12","TOHOシネマズ","2300","1回","","","2300","国内","","DUMMY-20M07-009"
"dummy_20s_male_07","≪ショッピング取組（国内）≫","2026/06/16","セブンイレブン","520","1回","","","520","国内","","DUMMY-20M07-025"
"dummy_20s_male_07","≪ショッピング取組（国内）≫","2026/06/18","ラーメン青葉","980","1回","","","980","国内","","DUMMY-20M07-026"
"dummy_20s_male_07","≪ショッピング取組（国内）≫","2026/06/20","スターバックス","1180","1回","","","1180","国内","","DUMMY-20M07-027"
"dummy_20s_male_07","≪ショッピング取組（国内）≫","2026/06/22","ユニクロ","6980","1回","","","6980","国内","","DUMMY-20M07-028"
"dummy_20s_male_07","≪ショッピング取組（国内）≫","2026/06/24","TOHOシネマズ","1900","1回","","","1900","国内","","DUMMY-20M07-029"
"dummy_20s_male_08","≪ショッピング取組（国内）≫","2026/06/05","セブンイレブン","520","1回","","","520","国内","","DUMMY-20M08-004"
"dummy_20s_male_08","≪ショッピング取組（国内）≫","2026/06/07","ラーメン青葉","980","1回","","","980","国内","","DUMMY-20M08-005"
"dummy_20s_male_08","≪ショッピング取組（国内）≫","2026/06/09","スターバックス","1180","1回","","","1180","国内","","DUMMY-20M08-006"
"dummy_20s_male_08","≪ショッピング取組（国内）≫","2026/06/11","ユニクロ","6980","1回","","","6980","国内","","DUMMY-20M08-007"
"dummy_20s_male_08","≪ショッピング取組（国内）≫","2026/06/13","TOHOシネマズ","2300","1回","","","2300","国内","","DUMMY-20M08-008"
"dummy_20s_male_08","≪ショッピング取組（国内）≫","2026/06/17","セブンイレブン","520","1回","","","520","国内","","DUMMY-20M08-024"
"dummy_20s_male_09","≪ショッピング取組（国内）≫","2026/06/06","セブンイレブン","520","1回","","","520","国内","","DUMMY-20M09-003"
"dummy_20s_male_09","≪ショッピング取組（国内）≫","2026/06/08","ラーメン青葉","980","1回","","","980","国内","","DUMMY-20M09-004"
"dummy_20s_male_09","≪ショッピング取組（国内）≫","2026/06/10","スターバックス","1180","1回","","","1180","国内","","DUMMY-20M09-005"
"dummy_20s_male_09","≪ショッピング取組（国内）≫","2026/06/12","ユニクロ","6980","1回","","","6980","国内","","DUMMY-20M09-006"
"dummy_20s_male_09","≪ショッピング取組（国内）≫","2026/06/14","TOHOシネマズ","2300","1回","","","2300","国内","","DUMMY-20M09-007"
"dummy_20s_male_09","≪ショッピング取組（国内）≫","2026/06/18","セブンイレブン","520","1回","","","520","国内","","DUMMY-20M09-023"
"dummy_20s_male_09","≪ショッピング取組（国内）≫","2026/06/20","ラーメン青葉","980","1回","","","980","国内","","DUMMY-20M09-024"
"dummy_20s_male_09","≪ショッピング取組（国内）≫","2026/06/22","スターバックス","1180","1回","","","1180","国内","","DUMMY-20M09-025"
"dummy_20s_male_09","≪ショッピング取組（国内）≫","2026/06/24","ユニクロ","6980","1回","","","6980","国内","","DUMMY-20M09-026"
"dummy_20s_male_09","≪ショッピング取組（国内）≫","2026/06/26","TOHOシネマズ","1900","1回","","","1900","国内","","DUMMY-20M09-027"
"dummy_20s_male_10","≪ショッピング取組（国内）≫","2026/06/07","セブンイレブン","520","1回","","","520","国内","","DUMMY-20M10-002"
"dummy_20s_male_10","≪ショッピング取組（国内）≫","2026/06/09","ラーメン青葉","980","1回","","","980","国内","","DUMMY-20M10-003"
"dummy_20s_male_10","≪ショッピング取組（国内）≫","2026/06/11","スターバックス","1180","1回","","","1180","国内","","DUMMY-20M10-004"
"dummy_20s_male_10","≪ショッピング取組（国内）≫","2026/06/13","ユニクロ","6980","1回","","","6980","国内","","DUMMY-20M10-005"
"dummy_20s_male_10","≪ショッピング取組（国内）≫","2026/06/15","TOHOシネマズ","2300","1回","","","2300","国内","","DUMMY-20M10-006"
"dummy_20s_male_10","≪ショッピング取組（国内）≫","2026/06/19","セブンイレブン","520","1回","","","520","国内","","DUMMY-20M10-022"
"dummy_20s_male_10","≪ショッピング取組（国内）≫","2026/06/21","ラーメン青葉","980","1回","","","980","国内","","DUMMY-20M10-023"
"dummy_20s_female_01","≪ショッピング取組（国内）≫","2026/06/26","ローソン","520","1回","","","520","国内","","DUMMY-20F01-011"
"dummy_20s_female_01","≪ショッピング取組（国内）≫","2026/06/28","カフェベローチェ","980","1回","","","980","国内","","DUMMY-20F01-012"
"dummy_20s_female_01","≪ショッピング取組（国内）≫","2026/06/02","ロフト","3580","1回","","","3580","国内","","DUMMY-20F01-013"
"dummy_20s_female_01","≪ショッピング取組（国内）≫","2026/06/04","GU","7800","1回","","","7800","国内","","DUMMY-20F01-014"
"dummy_20s_female_01","≪ショッピング取組（国内）≫","2026/06/06","アットコスメ","1480","1回","","","1480","国内","","DUMMY-20F01-015"
"dummy_20s_female_02","≪ショッピング取組（国内）≫","2026/06/27","ローソン","520","1回","","","520","国内","","DUMMY-20F02-010"
"dummy_20s_female_02","≪ショッピング取組（国内）≫","2026/06/01","カフェベローチェ","980","1回","","","980","国内","","DUMMY-20F02-011"
"dummy_20s_female_02","≪ショッピング取組（国内）≫","2026/06/03","ロフト","3580","1回","","","3580","国内","","DUMMY-20F02-012"
"dummy_20s_female_02","≪ショッピング取組（国内）≫","2026/06/05","GU","7800","1回","","","7800","国内","","DUMMY-20F02-013"
"dummy_20s_female_02","≪ショッピング取組（国内）≫","2026/06/07","アットコスメ","1480","1回","","","1480","国内","","DUMMY-20F02-014"
"dummy_20s_female_03","≪ショッピング取組（国内）≫","2026/06/28","ローソン","520","1回","","","520","国内","","DUMMY-20F03-009"
"dummy_20s_female_03","≪ショッピング取組（国内）≫","2026/06/02","カフェベローチェ","980","1回","","","980","国内","","DUMMY-20F03-010"
"dummy_20s_female_03","≪ショッピング取組（国内）≫","2026/06/04","ロフト","3580","1回","","","3580","国内","","DUMMY-20F03-011"
"dummy_20s_female_03","≪ショッピング取組（国内）≫","2026/06/06","GU","7800","1回","","","7800","国内","","DUMMY-20F03-012"
"dummy_20s_female_03","≪ショッピング取組（国内）≫","2026/06/08","アットコスメ","1480","1回","","","1480","国内","","DUMMY-20F03-013"
"dummy_20s_female_04","≪ショッピング取組（国内）≫","2026/06/01","ローソン","520","1回","","","520","国内","","DUMMY-20F04-008"
"dummy_20s_female_04","≪ショッピング取組（国内）≫","2026/06/03","カフェベローチェ","980","1回","","","980","国内","","DUMMY-20F04-009"
"dummy_20s_female_04","≪ショッピング取組（国内）≫","2026/06/05","ロフト","3580","1回","","","3580","国内","","DUMMY-20F04-010"
"dummy_20s_female_04","≪ショッピング取組（国内）≫","2026/06/07","GU","7800","1回","","","7800","国内","","DUMMY-20F04-011"
"dummy_20s_female_04","≪ショッピング取組（国内）≫","2026/06/09","アットコスメ","1480","1回","","","1480","国内","","DUMMY-20F04-012"
"dummy_20s_female_04","≪ショッピング取組（国内）≫","2026/06/13","ローソン","520","1回","","","520","国内","","DUMMY-20F04-028"
"dummy_20s_female_04","≪ショッピング取組（国内）≫","2026/06/15","カフェベローチェ","980","1回","","","980","国内","","DUMMY-20F04-029"
"dummy_20s_female_04","≪ショッピング取組（国内）≫","2026/06/17","ロフト","2380","1回","","","2380","国内","","DUMMY-20F04-030"
"dummy_20s_female_04","≪ショッピング取組（国内）≫","2026/06/19","GU","7800","1回","","","7800","国内","","DUMMY-20F04-031"
"dummy_20s_female_04","≪ショッピング取組（国内）≫","2026/06/21","アットコスメ","1480","1回","","","1480","国内","","DUMMY-20F04-032"
"dummy_20s_female_05","≪ショッピング取組（国内）≫","2026/06/02","ローソン","520","1回","","","520","国内","","DUMMY-20F05-007"
"dummy_20s_female_05","≪ショッピング取組（国内）≫","2026/06/04","カフェベローチェ","980","1回","","","980","国内","","DUMMY-20F05-008"
"dummy_20s_female_05","≪ショッピング取組（国内）≫","2026/06/06","ロフト","3580","1回","","","3580","国内","","DUMMY-20F05-009"
"dummy_20s_female_05","≪ショッピング取組（国内）≫","2026/06/08","GU","7800","1回","","","7800","国内","","DUMMY-20F05-010"
"dummy_20s_female_05","≪ショッピング取組（国内）≫","2026/06/10","アットコスメ","1480","1回","","","1480","国内","","DUMMY-20F05-011"
"dummy_20s_female_06","≪ショッピング取組（国内）≫","2026/06/03","ローソン","520","1回","","","520","国内","","DUMMY-20F06-006"
"dummy_20s_female_06","≪ショッピング取組（国内）≫","2026/06/05","カフェベローチェ","980","1回","","","980","国内","","DUMMY-20F06-007"
"dummy_20s_female_06","≪ショッピング取組（国内）≫","2026/06/07","ロフト","3580","1回","","","3580","国内","","DUMMY-20F06-008"
"dummy_20s_female_06","≪ショッピング取組（国内）≫","2026/06/09","GU","7800","1回","","","7800","国内","","DUMMY-20F06-009"
"dummy_20s_female_06","≪ショッピング取組（国内）≫","2026/06/11","アットコスメ","1480","1回","","","1480","国内","","DUMMY-20F06-010"
"dummy_20s_female_06","≪ショッピング取組（国内）≫","2026/06/15","ローソン","520","1回","","","520","国内","","DUMMY-20F06-026"
"dummy_20s_female_06","≪ショッピング取組（国内）≫","2026/06/17","カフェベローチェ","980","1回","","","980","国内","","DUMMY-20F06-027"
"dummy_20s_female_06","≪ショッピング取組（国内）≫","2026/06/19","ロフト","2380","1回","","","2380","国内","","DUMMY-20F06-028"
"dummy_20s_female_06","≪ショッピング取組（国内）≫","2026/06/21","GU","7800","1回","","","7800","国内","","DUMMY-20F06-029"
"dummy_20s_female_06","≪ショッピング取組（国内）≫","2026/06/23","アットコスメ","1480","1回","","","1480","国内","","DUMMY-20F06-030"
"dummy_20s_female_07","≪ショッピング取組（国内）≫","2026/06/04","ローソン","520","1回","","","520","国内","","DUMMY-20F07-005"
"dummy_20s_female_07","≪ショッピング取組（国内）≫","2026/06/06","カフェベローチェ","980","1回","","","980","国内","","DUMMY-20F07-006"
"dummy_20s_female_07","≪ショッピング取組（国内）≫","2026/06/08","ロフト","3580","1回","","","3580","国内","","DUMMY-20F07-007"
"dummy_20s_female_07","≪ショッピング取組（国内）≫","2026/06/10","GU","7800","1回","","","7800","国内","","DUMMY-20F07-008"
"dummy_20s_female_07","≪ショッピング取組（国内）≫","2026/06/12","アットコスメ","1480","1回","","","1480","国内","","DUMMY-20F07-009"
"dummy_20s_female_08","≪ショッピング取組（国内）≫","2026/06/05","ローソン","520","1回","","","520","国内","","DUMMY-20F08-004"
"dummy_20s_female_08","≪ショッピング取組（国内）≫","2026/06/07","カフェベローチェ","980","1回","","","980","国内","","DUMMY-20F08-005"
"dummy_20s_female_08","≪ショッピング取組（国内）≫","2026/06/09","ロフト","3580","1回","","","3580","国内","","DUMMY-20F08-006"
"dummy_20s_female_08","≪ショッピング取組（国内）≫","2026/06/11","GU","7800","1回","","","7800","国内","","DUMMY-20F08-007"
"dummy_20s_female_08","≪ショッピング取組（国内）≫","2026/06/13","アットコスメ","1480","1回","","","1480","国内","","DUMMY-20F08-008"
"dummy_20s_female_08","≪ショッピング取組（国内）≫","2026/06/17","ローソン","520","1回","","","520","国内","","DUMMY-20F08-024"
"dummy_20s_female_08","≪ショッピング取組（国内）≫","2026/06/19","カフェベローチェ","980","1回","","","980","国内","","DUMMY-20F08-025"
"dummy_20s_female_08","≪ショッピング取組（国内）≫","2026/06/21","ロフト","2380","1回","","","2380","国内","","DUMMY-20F08-026"
"dummy_20s_female_08","≪ショッピング取組（国内）≫","2026/06/23","GU","7800","1回","","","7800","国内","","DUMMY-20F08-027"
"dummy_20s_female_08","≪ショッピング取組（国内）≫","2026/06/25","アットコスメ","1480","1回","","","1480","国内","","DUMMY-20F08-028"
"dummy_20s_female_09","≪ショッピング取組（国内）≫","2026/06/06","ローソン","520","1回","","","520","国内","","DUMMY-20F09-003"
"dummy_20s_female_09","≪ショッピング取組（国内）≫","2026/06/08","カフェベローチェ","980","1回","","","980","国内","","DUMMY-20F09-004"
"dummy_20s_female_09","≪ショッピング取組（国内）≫","2026/06/10","ロフト","3580","1回","","","3580","国内","","DUMMY-20F09-005"
"dummy_20s_female_09","≪ショッピング取組（国内）≫","2026/06/12","GU","7800","1回","","","7800","国内","","DUMMY-20F09-006"
"dummy_20s_female_09","≪ショッピング取組（国内）≫","2026/06/14","アットコスメ","1480","1回","","","1480","国内","","DUMMY-20F09-007"
"dummy_20s_female_10","≪ショッピング取組（国内）≫","2026/06/07","ローソン","520","1回","","","520","国内","","DUMMY-20F10-002"
"dummy_20s_female_10","≪ショッピング取組（国内）≫","2026/06/09","カフェベローチェ","980","1回","","","980","国内","","DUMMY-20F10-003"
"dummy_20s_female_10","≪ショッピング取組（国内）≫","2026/06/11","ロフト","3580","1回","","","3580","国内","","DUMMY-20F10-004"
"dummy_20s_female_10","≪ショッピング取組（国内）≫","2026/06/13","GU","7800","1回","","","7800","国内","","DUMMY-20F10-005"
"dummy_20s_female_10","≪ショッピング取組（国内）≫","2026/06/15","アットコスメ","1480","1回","","","1480","国内","","DUMMY-20F10-006"
"dummy_20s_female_10","≪ショッピング取組（国内）≫","2026/06/19","ローソン","520","1回","","","520","国内","","DUMMY-20F10-022"
"dummy_20s_female_10","≪ショッピング取組（国内）≫","2026/06/21","カフェベローチェ","980","1回","","","980","国内","","DUMMY-20F10-023"
"dummy_20s_female_10","≪ショッピング取組（国内）≫","2026/06/23","ロフト","2380","1回","","","2380","国内","","DUMMY-20F10-024"
"dummy_20s_female_10","≪ショッピング取組（国内）≫","2026/06/25","GU","7800","1回","","","7800","国内","","DUMMY-20F10-025"
"dummy_20s_female_10","≪ショッピング取組（国内）≫","2026/06/27","アットコスメ","1480","1回","","","1480","国内","","DUMMY-20F10-026"
"dummy_30s_male_01","≪ショッピング取組（国内）≫","2026/06/26","イトーヨーカドー","3200","1回","","","3200","国内","","DUMMY-30M01-011"
