"取引日","出金金額（円）","入金金額（円）","海外出金金額","通貨","変換レート（円）","利用国","取引内容","取引先","取引方法","支払い区分","利用者","取引番号"
"2026/01/02","400","","","","","日本","支払い","サンプルサービスA","PayPay残高","通常","発表用ダミー","PP-DUMMY-2026-0001"
"2026/01/05","1404","","","","","日本","支払い","イオン サンプル店","PayPay残高","通常","発表用ダミー","PP-DUMMY-2026-0009"
"2026/01/06","400","","","","","日本","支払い","サンプルサービスG","PayPay残高","通常","発表用ダミー","PP-DUMMY-2026-0007"
"2026/01/10","1404","","","","","日本","支払い","セブンイレブン サンプル店","PayPay残高","通常","発表用ダミー","PP-DUMMY-2026-0010"
"2026/01/11","864","","","","","日本","支払い","マツモトキヨシ サンプル店","PayPay残高","通常","発表用ダミー","PP-DUMMY-2026-0015"
"2026/01/17","400","","","","","日本","支払い","サンプルサービスD","PayPay残高","通常","発表用ダミー","PP-DUMMY-2026-0004"
"2026/01/20","160","","","","","日本","支払い","さくら歯科 サンプル","PayPay残高","通常","発表用ダミー","PP-DUMMY-2026-0021"
"2026/01/23","72","","","","","日本","支払い","JR東日本 サンプル","PayPay残高","通常","発表用ダミー","PP-DUMMY-2026-0023"
"2026/02/02","400","","","","","日本","支払い","サンプルサービスA","PayPay残高","通常","発表用ダミー","PP-DUMMY-2026-0031"
"2026/02/05","1404","","","","","日本","支払い","イオン サンプル店","PayPay残高","通常","発表用ダミー","PP-DUMMY-2026-0039"
"2026/02/06","400","","","","","日本","支払い","サンプルサービスG","PayPay残高","通常","発表用ダミー","PP-DUMMY-2026-0037"
"2026/02/10","1404","","","","","日本","支払い","セブンイレブン サンプル店","PayPay残高","通常","発表用ダミー","PP-DUMMY-2026-0040"
"2026/02/11","864","","","","","日本","支払い","マツモトキヨシ サンプル店","PayPay残高","通常","発表用ダミー","PP-DUMMY-2026-0045"
"2026/02/17","400","","","","","日本","支払い","サンプルサービスD","PayPay残高","通常","発表用ダミー","PP-DUMMY-2026-0034"
"2026/02/20","160","","","","","日本","支払い","さくら歯科 サンプル","PayPay残高","通常","発表用ダミー","PP-DUMMY-2026-0051"
"2026/02/23","72","","","","","日本","支払い","JR東日本 サンプル","PayPay残高","通常","発表用ダミー","PP-DUMMY-2026-0053"
"2026/03/02","400","","","","","日本","支払い","サンプルサービスA","PayPay残高","通常","発表用ダミー","PP-DUMMY-2026-0061"
"2026/03/05","1404","","","","","日本","支払い","イオン サンプル店","PayPay残高","通常","発表用ダミー","PP-DUMMY-2026-0069"
"2026/03/06","400","","","","","日本","支払い","サンプルサービスG","PayPay残高","通常","発表用ダミー","PP-DUMMY-2026-0067"
