"取引日","出金金額（円）","入金金額（円）","海外出金金額","通貨","変換レート（円）","利用国","取引内容","取引先","取引方法","支払い区分","利用者","取引番号"
"2026/06/06","820","","","","","日本","支払い","セブンイレブン","PayPay残高","通常","dummy_20s_male_01","PP-DUMMY-20M01-001"
"2026/06/08","1320","","","","","日本","支払い","ラーメン青葉","PayPay残高","通常","dummy_20s_male_01","PP-DUMMY-20M01-002"
"2026/06/10","680","","","","","日本","支払い","スターバックス","PayPay残高","通常","dummy_20s_male_01","PP-DUMMY-20M01-003"
"2026/06/12","3980","","","","","日本","支払い","ユニクロ","PayPay残高","通常","dummy_20s_male_01","PP-DUMMY-20M01-004"
"2026/06/14","1900","","","","","日本","支払い","TOHOシネマズ","PayPay残高","通常","dummy_20s_male_01","PP-DUMMY-20M01-005"
"2026/06/16","7800","","","","","日本","支払い","Amazon","PayPay残高","通常","dummy_20s_male_01","PP-DUMMY-20M01-006"
"2026/06/18","980","","","","","日本","支払い","マツモトキヨシ","PayPay残高","通常","dummy_20s_male_01","PP-DUMMY-20M01-007"
"2026/06/20","4800","","","","","日本","支払い","ビックカメラ","PayPay残高","通常","dummy_20s_male_01","PP-DUMMY-20M01-008"
"2026/06/22","980","","","","","日本","支払い","東京メトロ","PayPay残高","通常","dummy_20s_male_01","PP-DUMMY-20M01-009"
"2026/06/24","1380","","","","","日本","支払い","ファミリーマート","PayPay残高","通常","dummy_20s_male_01","PP-DUMMY-20M01-010"
"2026/06/14","420","","","","","日本","支払い","東京メトロ","PayPay残高","通常","dummy_20s_male_01","PP-DUMMY-20M01-019"
"2026/06/16","760","","","","","日本","支払い","ファミリーマート","PayPay残高","通常","dummy_20s_male_01","PP-DUMMY-20M01-020"
"2026/06/09","1320","","","","","日本","支払い","ラーメン青葉","PayPay残高","通常","dummy_20s_male_02","PP-DUMMY-20M02-001"
"2026/06/11","680","","","","","日本","支払い","スターバックス","PayPay残高","通常","dummy_20s_male_02","PP-DUMMY-20M02-002"
"2026/06/13","3980","","","","","日本","支払い","ユニクロ","PayPay残高","通常","dummy_20s_male_02","PP-DUMMY-20M02-003"
"2026/06/15","1900","","","","","日本","支払い","TOHOシネマズ","PayPay残高","通常","dummy_20s_male_02","PP-DUMMY-20M02-004"
"2026/06/17","7800","","","","","日本","支払い","Amazon","PayPay残高","通常","dummy_20s_male_02","PP-DUMMY-20M02-005"
"2026/06/19","980","","","","","日本","支払い","マツモトキヨシ","PayPay残高","通常","dummy_20s_male_02","PP-DUMMY-20M02-006"
"2026/06/21","4800","","","","","日本","支払い","ビックカメラ","PayPay残高","通常","dummy_20s_male_02","PP-DUMMY-20M02-007"
"2026/06/23","980","","","","","日本","支払い","東京メトロ","PayPay残高","通常","dummy_20s_male_02","PP-DUMMY-20M02-008"
"2026/06/25","1380","","","","","日本","支払い","ファミリーマート","PayPay残高","通常","dummy_20s_male_02","PP-DUMMY-20M02-009"
"2026/06/15","420","","","","","日本","支払い","東京メトロ","PayPay残高","通常","dummy_20s_male_02","PP-DUMMY-20M02-018"
"2026/06/17","760","","","","","日本","支払い","ファミリーマート","PayPay残高","通常","dummy_20s_male_02","PP-DUMMY-20M02-019"
