"transactionId","userId","ageGroup","gender","date","amount","merchant","source","paymentMethod","category","type","importBatchId","createdAt"
"DUMMY2-2026-0001","presentation_demo_user_02","40s","unspecified","2026-01-03","1002","サンプル食堂ひだまり","JCB","JCB","食費","expense","DUMMY2-BATCH-202601","2026-09-07T00:00:00Z"
"DUMMY2-2026-0002","presentation_demo_user_02","40s","unspecified","2026-01-05","334","架空ECモール Kite","JCB","JCB","ネットでの購入","expense","DUMMY2-BATCH-202601","2026-09-07T00:00:00Z"
"DUMMY2-2026-0003","presentation_demo_user_02","40s","unspecified","2026-01-07","1169","テストホームストア","JCB","JCB","日用品","expense","DUMMY2-BATCH-202601","2026-09-07T00:00:00Z"
"DUMMY2-2026-0004","presentation_demo_user_02","40s","unspecified","2026-01-09","1336","サンプル衣料 Nagi","JCB","JCB","衣服費","expense","DUMMY2-BATCH-202601","2026-09-07T00:00:00Z"
"DUMMY2-2026-0005","presentation_demo_user_02","40s","unspecified","2026-01-11","2505","テスト水族館","VISA","VISA","娯楽","expense","DUMMY2-BATCH-202601","2026-09-07T00:00:00Z"
"DUMMY2-2026-0006","presentation_demo_user_02","40s","unspecified","2026-01-13","1670","架空メディカルセンター","PayPay","PayPay","医療費","expense","DUMMY2-BATCH-202601","2026-09-07T00:00:00Z"
"DUMMY2-2026-0007","presentation_demo_user_02","40s","unspecified","2026-01-15","2839","サンプルタクシー","JCB","JCB","交通費","expense","DUMMY2-BATCH-202601","2026-09-07T00:00:00Z"
"DUMMY2-2026-0008","presentation_demo_user_02","40s","unspecified","2026-01-17","1503","架空電気サービス","JCB","JCB","光熱費","expense","DUMMY2-BATCH-202601","2026-09-07T00:00:00Z"
"DUMMY2-2026-0009","presentation_demo_user_02","40s","unspecified","2026-01-19","835","サンプルインターネット","VISA","VISA","通信費","expense","DUMMY2-BATCH-202601","2026-09-07T00:00:00Z"
"DUMMY2-2026-0010","presentation_demo_user_02","40s","unspecified","2026-01-21","3173","架空アパート管理費","JCB","JCB","住居費","expense","DUMMY2-BATCH-202601","2026-09-07T00:00:00Z"
"DUMMY2-2026-0011","presentation_demo_user_02","40s","unspecified","2026-01-23","334","サンプルサービス Quartz","JCB","JCB","その他","expense","DUMMY2-BATCH-202601","2026-09-07T00:00:00Z"
