取引日,出金金額（円）,入金金額（円）,海外出金金額,通貨,変換レート（円）,利用国,取引内容,取引先,取引方法,支払い区分,利用者,取引番号
2025/07/08 17:07:54,"13,365",-,-,-,-,-,支払い,MASA - MASA,"PayPayポイント (56円), PayPay残高 (13,309円)",-,-,04748657353302491136
2025/07/08 17:07:54,-,66,-,-,-,-,ポイント、残高の獲得,MASA,PayPayポイント,-,-,04748657353302491136
2025/07/08 14:14:54,100,-,-,-,-,JP,送った金額,tomsdayo,PayPay残高,-,-,02037419901881163786
2025/07/08 13:51:34,-,"13,000",-,-,-,JP,受け取った金額,ジユンコ,PayPay残高,-,-,02037407884561555456
2025/07/06 21:49:13,-,25,-,-,-,-,ポイント、残高の獲得,富士薬品グループ,PayPayポイント,-,-,04747317993521225729
2025/07/06 21:49:13,"5,082",-,-,-,-,-,支払い,富士薬品グループ - ドラッグセイムス愛甲石田店,PayPay残高,-,-,04747317993521225729
2025/07/06 18:37:15,84,-,-,-,-,-,支払い,富士薬品グループ - ドラッグセイムス愛甲石田店,"PayPayポイント (3円), PayPay残高 (81円)",-,-,04747219063243743232
2025/07/06 18:12:01,-,"6,000",-,-,-,JP,受け取った金額,ジユンコ,PayPay残高,-,-,02036057770182533140
2025/07/02 20:36:54,-,18,-,-,-,-,ポイント、残高の獲得,Appleサービス,PayPayポイント,-,-,04744312040396423168
2025/07/02 20:36:54,"3,680",-,-,-,-,-,支払い,Appleサービス,PayPay残高,-,-,04744312040396423168
2025/07/02 17:56:14,"1,613",-,-,-,-,-,支払い,マルエツ - 愛甲石田店,PayPay残高,-,-,04744229242018070529
2025/07/02 17:56:14,-,8,-,-,-,-,ポイント、残高の獲得,マルエツ,PayPayポイント,-,-,04744229242018070529
2025/07/02 17:17:42,-,"2,000",-,-,-,JP,受け取った金額,ジユンコ,PayPay残高,-,-,02033061094188752901
2025/07/01 03:27:26,"1,000",-,-,-,-,-,期間限定ポイントの期限切れ,-,PayPayポイント,-,-,03826287519695806469
2025/06/30 10:08:35,320,-,-,-,-,-,支払い,Appleサービス,PayPay残高,-,-,04742503867754815489
2025/06/30 10:08:34,-,1,-,-,-,-,ポイント、残高の獲得,Appleサービス,PayPayポイント,-,-,04742503867754815489
2025/06/30 10:07:37,320,-,-,-,-,-,支払い,Appleサービス,"PayPayポイント (11円), PayPay残高 (309円)",-,-,04742503378128199680
2025/06/30 10:07:37,-,1,-,-,-,-,ポイント、残高の獲得,Appleサービス,PayPayポイント,-,-,04742503378128199680
2025/06/29 22:30:06,-,27,-,-,-,-,ポイント、残高の獲得,Appleサービス,PayPayポイント,-,-,04742143872185638914
2025/06/29 22:30:06,"5,550",-,-,-,-,-,支払い,Appleサービス,PayPay残高,-,-,04742143872185638914
2025/06/29 22:29:46,-,"10,000",-,-,-,JP,受け取った金額,ジユンコ,PayPay残高,-,-,02030995429667995648
2025/06/28 21:49:36,"1,023",-,-,-,-,-,支払い,富士薬品グループ - ドラッグセイムス愛甲石田店,PayPay残高,-,-,04741380828296495112
2025/06/28 21:49:35,-,5,-,-,-,-,ポイント、残高の獲得,富士薬品グループ,PayPayポイント,-,-,04741380828296495112
2025/06/28 20:25:08,-,"1,000",-,-,-,JP,受け取った金額,ジユンコ,PayPay残高,-,-,02030189023788040196
2025/06/28 13:25:43,-,3,-,-,-,-,ポイント、残高の獲得,Amazonプライム会費,PayPayポイント,-,-,04741121120213213186
2025/06/28 13:25:41,600,-,-,-,-,-,支払い,Amazonプライム会費,PayPay残高,-,-,04741121120213213186
2025/06/28 11:53:04,"4,680",-,-,-,-,-,支払い,Appleサービス,PayPay残高,-,-,04741073385947111430
2025/06/28 11:53:04,-,23,-,-,-,-,ポイント、残高の獲得,Appleサービス,PayPayポイント,-,-,04741073385947111430
2025/06/27 23:34:30,-,12,-,-,-,-,ポイント、残高の獲得,Appleサービス,PayPayポイント,-,-,04740692722995601409
2025/06/27 23:34:30,"2,570",-,-,-,-,-,支払い,Appleサービス,"PayPayポイント (2円), PayPay残高 (2,568円)",-,-,04740692722995601409
2025/06/26 13:05:31,-,345,-,-,-,JP,受け取った金額,S,PayPay残高,-,-,02028478106385735691
2025/06/26 12:55:17,"1,423",-,-,-,-,-,支払い,セブン-イレブン - 片柳学園,PayPay残高,-,-,04739621111475068932
2025/06/26 12:55:17,-,7,-,-,-,-,ポイント、残高の獲得,セブン-イレブン,PayPayポイント,-,-,04739621111475068932
2025/06/26 12:29:00,"1,162",-,-,-,-,-,支払い,セブン-イレブン - 片柳学園,PayPay残高,-,-,04739607565148995586
2025/06/26 12:29:00,-,5,-,-,-,-,ポイント、残高の獲得,セブン-イレブン,PayPayポイント,-,-,04739607565148995586
2025/06/25 22:48:18,-,"2,000",-,-,-,JP,受け取った金額,ジユンコ,PayPay残高,-,-,02028036300280266755
2025/06/24 13:42:58,598,-,-,-,-,-,支払い,ファミリーマート - 愛甲石田駅前,"PayPayポイント (35円), PayPay残高 (563円)",-,-,04738161337987366916
2025/06/24 13:42:57,-,2,-,-,-,-,ポイント、残高の獲得,ファミリーマート,PayPayポイント,-,-,04738161337987366916
2025/06/22 21:50:35,-,26,-,-,-,-,ポイント、残高の獲得,富士薬品グループ,PayPayポイント,-,-,04736928313006243846
2025/06/22 21:50:35,"5,309",-,-,-,-,-,支払い,富士薬品グループ - ドラッグセイムス愛甲石田店,PayPay残高,-,-,04736928313006243846
2025/06/21 21:50:01,"1,496",-,-,-,-,-,支払い,富士薬品グループ - ドラッグセイムス愛甲石田店,PayPay残高,-,-,04736185859189850112
2025/06/21 21:50:01,-,7,-,-,-,-,ポイント、残高の獲得,富士薬品グループ,PayPayポイント,-,-,04736185859189850112
2025/06/21 20:02:39,-,"2,000",-,-,-,JP,受け取った金額,ジユンコ,PayPay残高,-,-,02024982243522117632
